Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2018-10-11;14151;C35TBSTD049F;Tube and Cap;;Order (a/w);Tube 35x95/10 LDPE White;Impo Distributors;Wayne;147630/0;10;White;95;LDPE;10;35;White;White;33;F/T B/O;PP;Fugi Sleeve;;X;1900-01-00;-;-;;;EXTRUSION;;-7;Closed;2018-08-25;;;;;;;;;;;;;;;;;;,
2018-10-11;14152;C25LTBRA000F;Digital Laminate;;Order (a/w);Brandsalf Miracle Balm 30ml;Brandsalf;Rob;148075/0;2,5;White;100;PBL;4;25;White;Turquoise  ;25;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;26;Closed;2019-04-09;;;;;;;;;;;;;;;;;;
2018-10-15;14153;C50TBSTD083F;Tube and Cap;;Order;Tube 50x180/10 LDPE Natural (Lacquer height at 115mm from shoulder);CT Toiletry Co;Rob;147664/4;5;Natural;180;LDPE;10;50;Natural;Black;48;F/T B/O;PP;;;;1900-01-00;-;-;;;EXTRUSION;;4;Closed;2018-11-08;;;;;;;;;;;;;;;;;;,
2018-10-17;14154;;Lid;;No order;250 J Lid -236 -Pink;NSP Unsgaard;Wayne;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-17;14155;;Lid;;No order;250 J Lid - 264c - Lilac;NSP Unsgaard;Wayne;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-17;14156;;Lid;;No order;350/500 J lid 236c Pink;NSP Unsgaard;Wayne;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-17;14157;;Lid;;No order;350/500 J lid 264c - Lilac;NSP Unsgaard;Wayne;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-17;14158;;Jar;;No order;500ml Blow mould Jar HDPE (1 Cavity needs modification);Bowler CT;Bernd;;;;;;;;;;;;;;;;1900-01-00;-;-;;;BLOWMOULD;;229;Closed;2023-03-07;;;;;;;;;;;;;;;;;;,
2018-10-17;14159;;Lid;;No order;500ml Lid;Bowler CT;;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;#VALUE!;Closed;closed;;;;;;;;;;;;;;;;;;,
2018-10-17;14160;C40LTVIS000F;Digital Laminate;;Order (a/w);Bella Ceutics Skin Lightening Scrub and Mask 100ml;Vision Labs Beauty;Rob;147810/0;3,1;White;120;PBL;10;40;White;White;38;F/T B/O;PP;Fugi Sleave;;X;1900-01-00;-;-;;;DIGITAL ;;7;Closed;2018-11-28;;;;;;;;;;;;;;;;;;
