Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
10969;Bio Earth Man.;Pikoko Scar-Nil Jelly 150ml;08.09.15;14.09.2015;8x3;;;;
10970;Bio Earth Man.;Pikoko Tummy-Trim Jelly 150ml;08.09.15;14.09.2015;8x3;;;;
11071;Quintessance;Quintessance Laminate 75ml;10.09.15;19.10.2015;8X3;;;;
10847_1;Bioseal;Bioseal Body Cream 80ml;10.09.15;16.09.2015;8x3;;;;
10986;Aerosol & Cosm.;Healing Earth Shampoo 50ml;14.09.15;01.10.2015;8x3;;;;
10987;Aerosol & Cosm.;Healing Earth Conditioning Shampoo 50ml;14.09.15;01.10.2015;8x3;;;;
10988;Aerosol & Cosm.;Healing Earth Shower Gel 50ml;14.09.15;01.10.2015;8x3;;;;
10989;Aerosol & Cosm.;Healing Earth Hand and Body Lotion 50ml;14.09.15;01.10.2015;8x3;;;;
10990;Aerosol & Cosm.;Healing Earth Conditioner 50ml;14.09.15;01.10.2015;8x3;;;;
10991;Aerosol & Cosm.;Healing Earth Foam Bath 50ml;14.09.15;01.10.2015;8x3;;;;
10992;Aerosol & Cosm.;Healing Earth Hand and Body Soap 50ml;14.09.15;01.10.2015;8x3;;;;
10884;Aerosol & Cosm.;Sobert Firming Hand & Nail Cream 50ml;16.09.15;18.09.2015;8X3;;;1st proof send on the 31/7. Customer then changed to Offset but changed there mind again and decided to go with digital.;
10885;Aerosol & Cosm.;Sobert Hydrating Hand & Nail Cream 50ml;16.09.15;18.09.2015;8X3;;;1st proof send on the 31/7. Customer then changed to Offset but changed there mind again and decided to go with digital.;
10886;Aerosol & Cosm.;Sobert Balancing Hand & Nail Cream 50ml;16.09.15;18.09.2015;8X3;;;1st proof send on the 31/7. Customer then changed to Offset but changed there mind again and decided to go with digital.;
10978;Natures Touch;Victorian Garden Sesame & Honey  20ml;16.09.15;17.09.2015;10X2;;;;
10982;Natures Touch;Victorian Garden Queen Catherines Lip Cream 20ml;16.09.15;17.09.2015;10x2;;;;
10998;MRL Private Collection;Shaving Gel 75ml;17.09.15;17.09.2015;8X3;;;;
10999;MRL Private Collection;Facial Scrub 75ml;17.09.15;17.09.2015;8X3;;;;
10979;Natures Touch;Victorian Garden Bearberry Pigmentation Cream  20ml;28.09.15;06.10.2015;8X3;;;;
10980;Natures Touch;Victorian Garden Jasmine and Camomile 100ml;28.09.15;07.10.2015;8X3;;;;
10981;Natures Touch;Victorian Garden Apricot & Lavender 100ml;28.09.15;07.10.2015;8X3;;;;
10983;Natures Touch;Victorian Garden Rosmary & Lavender 100ml;28.09.15;07.10.2015;8X3;;;;
10985;Natures Touch;Victorian Garden Basil & Lemongrass 100ml;28.09.15;06.10.2015;8X3;;;;
11010;CW Pharmaceuticals;Skin PHD Moisture Maintenance 50ml ;28.09.15;29.09.2015;8x3;;;1st proof send on the 16 September, trial was done but customer requested changes on artwork.;
10957;Pharmamark;Eat Naked Raw Honey 35ml;29.09.15;01.10.2015;8X3;;;1st proof send on the 31/8 customer revised artwork ;
10984;Natures Touch;Victorian Garden Lemon & Perlargonium 100ml;29.09.15;29.09.2015;8X3;;;;
11030;New World Laboratories;New World Hand and Body Cream Brown 75ml;01.10.15;06.10.2015;8X3;;;;
11044;Prime Products;Annique Delight Lux Perf H/Crm 50ml;07.10.15;08.10.2015;8X3;;;;
11049;Prime Products;Annique Be Amazing Lux Perf H/Cream 50ml;07.10.15;08.10.2015;8X3;;;;
11061;Dermasure;Zone Night Cream 50ml;07.10.15;08.10.2015;5X3;;;;
11064;Olgani;Herbal Refreshing Toothpaste 75ml T&C F/Seal;08.10.15;19.10.2015;7X4;;;;
11054;Le-Sel;KY Gel 50ml;12.10.15;15.10.2015;8X3;;;;
11084;Britec Labs;OSH Everyday Hand Crm 65ml;12.10.15;15.10.2015;8X3;;;;
10710;Arrow Chemicals;Teething  Gel 15ml T&C;22.10.15;30.10.2015;8X3;;;;
11088;Catwalk;Wintergreen Icy Arnica Gel 75ml;23.10.15;26.10.2015;8X3;;;;
11089;Catwalk;Wintergreen Hot Muscle Cream 75ml;23.10.15;28.10.2015;8X3;;;;
11090;Catwalk;Wintergreen Menthol Hot Gel 75ml;23.10.15;28.10.2015;8X3;;;;
11091;Catwalk;Wintergreen Anti-Chafe Cream 75ml;23.10.15;28.10.2015;8X3;;;;
11097;Pepper Tree Packaging;Peter Pirate Body Lotion 150ml  (ITW 11083);27.10.15;30.10.2015;8X3;;;;
10911;Canway;OSH Foot Mask Shea 3 in 1 100ml;28.10.15;10.11.2015;8X3;;;;
11165;Saradox;Good Stuff Spanish Moisture Blast Hand Crm 75ml;05.11.15;09.11.2015;8X3;;;;
11159;Catwalk;Cocoa Heaven Hand & Nail Crm 75ml;06.11.15;09.11.2015;8X3;;;;
11141;Recreation Health;Bettamed 25g;13.11.15;24.11.2015;8X3;;;;
11142;Recreation Health;Bettamed 50g;13.11.15;24.11.2015;8X3;;;;
11164;Saradox;Good Stuff Spanish Bee Natural Hand Crm 75ml;13.11.15;17.11.2015;8X3;;;;
11166;Saradox;Good Stuff Spanish Time On Your Hands Hand Crm 75ml;13.11.15;17.11.2015;8X3;;;;
11176;Nature Fresh;Herbal Tooth Polish Plus 100ml;13.11.15;04.12.2015;8X3;;;;
11178;Nature Fresh;Junior Toothpaste 75ml;13.11.15;04.12.2015;8X3;;;;
11127;Catwalk;Beaucience Botanicals Exfoliating Cream 100ml;17.11.15;18.11.2015;8X3;;;originally send on the 29/10 but diameter changed and have to resend;
11177;Nature Fresh;Aloe and Propolis Plus 100ml;17.11.15;04.12.2015;8X3;;;;
11184;The Lash Collection;World Beauty 50ml;23.11.15;24.11.2015;8X3;;;;
11192;DPB Consulting;Automotive Transmission Treatment 120ml;23.11.15;26.11.2015;8X3;;;;
11193;DPB Consulting;Diff And Gear Treatment 120ml;23.11.15;26.11.2015;8X3;;;;
11194;DPB Consulting;Power Steering Treatment 120ml;23.11.15;26.11.2015;8X3;;;;
11195;DPB Consulting;Seal Conditioner 120ml;23.11.15;26.11.2015;8X3;;;;
11179;Nature Fresh Health Prod.;Pure Smile Toothpaste 100ml;24.11.15;30.11.2015;8X3;;;;
11206;Karl De Leau Skincare;Lubrimaxxxx Personal Lubricant-Plain 50ml;12.01.16;14.01.2016;8X3;;;Customer revised artwork had to resend proofs;
11207;Karl De Leau Skincare;Lubrimaxxxx Per/Lubricant - Strawberry 50ml;12.01.16;14.01.2016;8X3;;;Customer revised artwork had to resend proofs;
