"Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,""Product Material Colour (tube, jar etc.)"",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,Month,Month Name,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Year,comments,Unit Order No_dig,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Trial approved_dig,Revised Artwork After Trialling_dig,Foil,Cap_Lid Style_dig,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments"
8503,2011-07-01,-5817.857142857143,,5421,Open,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,July,,,,,,No order,2011.0,,,,,,,,,,,,,,,,,,
21075,2026-03-19,,> 6 Months,46,Open,,Mosaic,Nucelle Face Wash For Dry Skin 100ml,Tube and Cap,,,C40LTMOS010F,Rob,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,120.0,White,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,Exist,216471/4,20.4,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21076,2026-03-19,1.0,,46,Closed,2026-03-23,Jumbo Brands,SRC Lemon Juice  28mm Green Bottle 500ml B0500/5,PET,,,J0500JUM000F,Mark Smith,,,PET,,,,,,,,,,,,Green558c,,,,,,,,,,,,,,,,,,,,,,New,216440/1,50.0,,,Order,,,,,,,,,,,,,,,,,,,
21077,2026-03-19,,> 6 Months,46,Open,,Creighton Prod.,Simply Floral Vanilla Body Scrub 250ml,Tube and Cap,,,C50TBCRE014F,Wayne,,HK,LDPE,,,,,,,,,,,,Beige,50.0,180.0,Beige,48,PP,F/T B/O,Natural,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216462/0,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21078,2026-03-19,,> 6 Months,46,Open,,Creighton Prod.,Simply Floral Vanilla Shower Gel 250ml,Tube and Cap,,,C50TBCRE015F,Wayne,,HK,LDPE,,,,,,,,,,,,Beige,50.0,180.0,Beige,48,PP,F/T B/O,Natural,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216465/0,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21079,2026-03-23,,< 6 Weeks,42,Open,,Amka Products,Natural Honey F/T Cap 400ml in White,Cap,,,,Peter,,INJECTION,,,,,,,,,,,,,,,,White,,PP,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21080,2026-03-23,,< 6 Weeks,42,Open,,Amka Products,Natural Honey F/T Cap 400ml Black,Cap,,,,Peter,,INJECTION,,,,,,,,,,,,,,,,Black,,PP,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21081,2026-03-23,,< 6 Weeks,42,Open,,Eurochem,Thick Bleach Bottle 750ml Yellow  (Braille),Bottle,,,,Natalie,,,HDPE,,,,,,,,,,,,BMYEL002,,,,,-,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21082,2026-03-23,,< 6 Weeks,42,Open,,Eurochem,Thick Bleach Bottle 750ml Blue  (Braille),Bottle,,,,Natalie,,,HDPE,,,,,,,,,,,,Blue 292c,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21083,2026-03-23,,< 6 Weeks,42,Open,,Eurochem,Thick Bleach Bottle 750ml Purple  (Braille),Bottle,,,,Natalie,,,HDPE,,,,,,,,,,,,Purple 2645c,,,,,,,,,,,,,,,,,,,,,,New,,,,,No order,,,,,,,,,,,,,,,,,,,
21084,2026-03-24,,< 6 Weeks,41,Open,,Charisma Candles,Tube 35x120/4 Coex Cream  (Run Cap Trial),Tube and Cap,,,C35TBCHR001F,Rob,,INJECTION,COEX,,,,,,,,,,,,Cream BMCRM015,35.0,120.0,Cream BMCRM015,35,PP,A,Cream,4.0,Foil Seal,,,,,,,,,,,,,Exist,216557/2,10.0,,,No order,,,,,,,,,,,,,,,,,,,
