Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
12877_8;C40LTRGP006F (Add 7);W00142318;#NAME?;CLAM129RGP006W;Rob;RG Cosmetics;Inuka New Modern Me You 50ml;11000;000620  ;x;40;PBL;85;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
13154_6;C40LTMOS002F (Add 5);W00142326;#NAME?;CLAM129MOS002W;Rob;Mosaic;Eskamel  Cleanser 150ml;11000;-  ;x;40;PBL;170;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15183;C25LTALO021F;W00142507;157005/0;CLAM082ALO021W;Warren;Aloe Ferox;Aloe Ferox Timeless 24 50ml;3400;POA10216  ;x;25;PBL;140;2;x;x;x;x7/10;1;43749;0;;A;;closed;New;2019/10/07;;;;;
15184;C25LTALO022F;W00142510;157007/0;CLAM082ALO022W;Warren;Aloe Ferox;Aloe Ferox Timeless 24 M + 50ml;11100;POA10216  ;x;25;PBL;140;2;x;x;x;x7/10;1;43749;0;;A;;closed;New;2019/10/07;;;;;
15185;C25LTFUL000F;W00143485;159877/0;CLAM082FUL000W;Wayne;Fulvimed;Fulvi Ban Skin and Wound Care Gel Natural Antibiotic 25g;5800;PO4187  ;x;25;PBL;100;4;x;x;x;x10/10;1;43752;0;;A;;closed;New;2019/10/10;;;;;
15088_1;C35LTHLS002F (Add);W00143011;#NAME?;CLAM113HLS002W;Natalie;HLS Industries;Gold Digger Body Lotion 75ml;650;PO000004  ;x;35;PBL;120;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15202;C40LTCOQ008F;W00143500;157209/0;CLAM129COQ008W;Rob;Cos Q;Motley Crew Whassup Face Cream 100ml;5000;N/C  ;x;40;PBL;120;10;x;x;x;x 21/10;1;43801;0;;F/T B/O;;closed;New;2019/10/21;2019/10/24;;;;T2: Adj  no print areas + doodle clarity
15203;C40LTCOQ006F;W00143507;157206/0;CLAM129COQ006W;Rob;Cos Q;Motley Crew Peace Mode Hair Gel 150ml;3000;N/C  ;x;40;PBL;180;10;x;x;x;x 21/10;1;FALSE;0;;F/T B/O;;closed;New;2019/10/22;2019/10/25;;;;T2:  Adj no print areas
15204;C40LTCOQ005F;W00143510;157205/0;CLAM129COQ005W;Rob;Cos Q;Motley Crew Rock Hard Gel 150ml;6000;N/C  ;x;40;PBL;180;10;x;x;x;x 21/10;1;FALSE;0;;F/T B/O;;closed;New;2019/10/23;2019/10/26;;;;T2:  Adj no print areas
15205;C40LTCOQ007F;W00143504;157207/0;CLAM129COQ007W;Rob;Cos Q;Motley Crew Glo Up face Wash 150ml;6000;N/C  ;x;40;PBL;180;10;x;x;x;x 21/10;1;FALSE;0;;F/T B/O;;closed;New;2019/10/24;2019/10/27;;;;
